soup
shingeki no kyojin action awardwinning drama gore military shounen survival isayama hajime white attack on titan
berserk action adventure awardwinning drama fantasy gore horror military mythology psychological seinen supernatural miura kentarou studiogaga white berserk
one piece action adventure fantasy shounen oda eiichiro white one piece
tokyo ghoul action fantasy gore horror psychological seinen ishida sui white tokyo ghoul
chainsaw man action adventure awardwinning gore shounen fujimoto tatsuki white chainsaw man
one punch-man action comedy parody seinen superpower murata yusuke one white one-punch man
boku no hero academia action school shounen superpower horikoshi kouhei white my hero academia
naruto action adventure fantasy martialarts shounen kishimoto masashi white naruto
solo leveling action adventure fantasy chugong jang sung-rak white solo leveling
death note psychological shounen supernatural suspense obata takeshi ohba tsugumi white death note
kimetsu no yaiba action fantasy historical shounen gotouge koyoharu white demon slayer: kimetsu no yaiba
oyasumi punpun drama psychological seinen sliceoflife asano inio white goodnight punpun
bleach action adventure awardwinning fantasy shounen kubo tite white bleach
horimiya romance school shounen hagiwara daisuke hero white horimiya
jujutsu kaisen action fantasy school shounen akutami gege white jujutsu kaisen
vagabond action adventure awardwinning historical samurai seinen inoue takehiko yoshikawa eiji white vagabond
yakusoku no neverland awardwinning mystery psychological sci-fi shounen survival suspense demizu posuka shirai kaiu white the promised neverland
fullmetal alchemist action adventure awardwinning drama fantasy military shounen arakawa hiromu white fullmetal alchemist
fairy tail action adventure awardwinning fantasy shounen mashima hiro white fairy tail
tokyo ghoul:re action fantasy gore horror psychological seinen ishida sui white tokyo ghoul:re
koe no katachi awardwinning drama romanticsubtext shounen ooima yoshitoki white a silent voice
spy x family action childcare comedy shounen endou tatsuya white spy x family
vinland saga action adventure awardwinning drama historical seinen yukimura makoto white vinland saga
hunter x hunter action adventure fantasy shounen togashi yoshihiro white hunter x hunter
kaguya-sama wa kokurasetai: tensai-tachi no renai zunousen awardwinning comedy romanticsubtext school seinen akasaka aka white kaguya-sama: love is war
"komi-san wa, comyushou desu. awardwinning comedy romanticsubtext school shounen oda tomohito white komi can't communicate"
jojo no kimyou na bouken part 7: steel ball run action adventure historical horror mystery seinen shounen supernatural araki hirohiko white
gantz action drama gore horror psychological sci-fi seinen supernatural survival oku hiroya white gantz
20th century boys awardwinning drama historical mystery psychological sci-fi seinen urasawa naoki white 20th century boys
monster adultcast awardwinning drama mystery psychological seinen urasawa naoki white monster
deadman wonderland action adventure drama gore highstakesgame sci-fi shounen supernatural survival kondou kazuma kataoka jinsei white deadman wonderland
haikyuu!! awardwinning school shounen sports teamsports furudate haruichi white haikyu!!
uzumaki drama horror seinen supernatural itou junji white uzumaki: spiral into horror
nisekoi comedy harem romance school shounen komi naoshi white nisekoi: false love
tokyo卍revengers action awardwinning delinquents shounen timetravel wakui ken white tokyo revengers
jojo no kimyou na bouken part 6: stone ocean action adventure shounen araki hirohiko white jojo's bizarre adventure part 6: stone ocean
black clover action comedy fantasy shounen tabata yuuki white black clover
shokugeki no souma gourmet school shounen saeki shun tsukuda yuuto morisaki yuki gray food wars: shokugeki no soma
nanatsu no taizai action adventure awardwinning fantasy shounen suzuki nakaba white the seven deadly sins
claymore action adventure fantasy gore horror shounen yagi norihiro white claymore
soul eater action fantasy shounen supernatural ookubo atsushi white soul eater
ao haru ride comedy drama romance school shoujo sliceoflife sakisaka io white ao haru ride
noragami action fantasy mythology shounen adachitoka white noragami: stray god
akame ga kill! action fantasy gore shounen superpower tashiro tetsuya takahiro white akame ga kill!
bakuman. comedy drama otakuculture romance shounen obata takeshi ohba tsugumi white bakuman。
dr. stone adventure awardwinning sci-fi shounen survival timetravel inagaki riichiro boichi white dr. stone
tower of god action adventure drama fantasy mystery siu white tower of god
pandora hearts adventure fantasy mystery shounen supernatural mochizuki jun white pandora hearts
"ijiranaide, nagatoro-san comedy romanticsubtext school sliceoflife visualarts 774 white don't toy with me, miss nagatoro"
kaichou wa maid-sama! comedy romance school shoujo fujiwara hiro white maid-sama!
5-toubun no hanayome awardwinning comedy harem romance school shounen haruba negi white the quintessential quintuplets
grand blue comedy seinen sliceoflife inoue kenji yoshioka kimitake white grand blue dreaming
relife comedy drama romance school sliceoflife yayoi sou white relife
kuroshitsuji action fantasy historical mystery mythology shounen supernatural toboso yana white black butler
ao no exorcist action fantasy mythology school shounen katou kazue white blue exorcist
d.gray-man action adventure mythology shounen superpower hoshino katsura white d.gray-man
gto action awardwinning comedy delinquents drama ecchi school shounen workplace fujisawa tooru white gto: great teacher onizuka
ansatsu kyoushitsu action comedy school shounen matsui yuusei white assassination classroom
kingdom action awardwinning historical military seinen hara yasuhisa white
orange drama lovepolygon romance school sci-fi shoujo timetravel takano ichigo white orange
dragon ball action adventure comedy martialarts sci-fi shounen superpower toriyama akira white dragon ball
dorohedoro action comedy fantasy gore horror seinen hayashida q white dorohedoro
magi adventure awardwinning fantasy shounen ohtaka shinobu white magi: the labyrinth of magic
yotsuba to! awardwinning childcare comedy iyashikei sliceoflife azuma kiyohiko white yotsuba&!
slam dunk awardwinning school shounen sports teamsports inoue takehiko white slam dunk
fruits basket awardwinning comedy drama lovepolygon romance school shoujo supernatural takaya natsuki white fruits basket
the breaker action comedy drama martialarts school park jin-hwan jeon geuk-jin white
