soup
fullmetal alchemist: brotherhood r17 action adventure drama fantasy military shounen bones
hunter x hunter (2011) pg13 action adventure fantasy shounen madhouse
shingeki no kyojin season 3 part 2 r17 action drama gore military survival shounen witstudio
steins;gate pg13 drama sci-fi suspense psychological timetravel whitefox
koe no katachi pg13 drama romanticsubtext shounen kyotoanimation
kimi no na wa. pg13 drama supernatural romanticsubtext comixwavefilms
code geass: hangyaku no lelouch r2 r17 action drama sci-fi mecha military superpower sunrise
shingeki no kyojin: the final season r17 action drama gore military survival shounen mappa
sen to chihiro no kamikakushi pg adventure awardwinning supernatural mythology studioghibli
code geass: hangyaku no lelouch r17 action drama sci-fi mecha military school superpower sunrise
death note r17 supernatural suspense psychological shounen madhouse
jujutsu kaisen (tv) r17 action fantasy school shounen mappa
shigatsu wa kimi no uso pg13 drama romance music school shounen a-1pictures
shingeki no kyojin season 3 r17 action drama gore military survival shounen witstudio
one piece pg13 action adventure fantasy shounen toeianimation
cowboy bebop r17 action sci-fi adultcast space sunrise
shingeki no kyojin r17 action drama gore military survival shounen witstudio
kimetsu no yaiba r17 action fantasy historical shounen ufotable
mob psycho 100 ii pg13 action comedy supernatural superpower bones
one punch man r17 action comedy parody superpower seinen madhouse
haikyuu!!: karasuno koukou vs. shiratorizawa gakuen koukou pg13 sports school teamsports shounen productioni.g
violet evergarden pg13 drama fantasy sliceoflife kyotoanimation
clannad: after story pg13 drama romance supernatural kyotoanimation
shingeki no kyojin season 2 r17 action drama gore military survival shounen witstudio
yakusoku no neverland r17 mystery sci-fi suspense psychological survival shounen cloverworks
haikyuu!! second season pg13 sports school teamsports shounen productioni.g
howl no ugoku shiro g adventure drama fantasy romance studioghibli
tengen toppa gurren lagann pg13 action adventure comedy sci-fi mecha gainax
mononoke hime pg13 action adventure fantasy studioghibli
kimetsu no yaiba movie: mugen ressha-hen r17 action fantasy historical shounen ufotable
kimetsu no yaiba: yuukaku-hen r17 action fantasy historical shounen ufotable
kaguya-sama wa kokurasetai? tensai-tachi no renai zunousen pg13 comedy psychological romanticsubtext school seinen a-1pictures
vinland saga r17 action adventure drama historical seinen witstudio
mob psycho 100 pg13 action comedy supernatural superpower bones
made in abyss r17 adventure drama fantasy mystery sci-fi kinemacitrus
haikyuu!! pg13 sports school teamsports shounen productioni.g
fate/zero 2nd season r17 action fantasy supernatural ufotable
ansatsu kyoushitsu 2nd season pg13 action comedy school shounen lerche
spy x family pg13 action comedy childcare shounen witstudio cloverworks
shingeki no kyojin: the final season part 2 r17 action drama gore military survival shounen mappa
jojo no kimyou na bouken part 5: ougon no kaze r17 action adventure organizedcrime shounen davidproduction
kaguya-sama wa kokurasetai: tensai-tachi no renai zunousen pg13 comedy psychological romanticsubtext school seinen a-1pictures
jojo no kimyou na bouken part 4: diamond wa kudakenai r17 action adventure comedy drama supernatural shounen davidproduction
neon genesis evangelion: the end of evangelion r+ avantgarde drama sci-fi mecha psychological gainax productioni.g
jojo no kimyou na bouken part 3: stardust crusaders 2nd season r17 action adventure drama supernatural shounen davidproduction
kiseijuu: sei no kakuritsu r17 action horror sci-fi gore psychological seinen madhouse
samurai champloo r17 action adventure comedy historical samurai shounen manglobe
boku dake ga inai machi r17 mystery psychological timetravel seinen a-1pictures
kimi no suizou wo tabetai pg13 drama romance sliceoflife studiovoln
neon genesis evangelion pg13 action avantgarde drama sci-fi mecha psychological gainax tatsunokoproduction
gintama pg13 action comedy sci-fi gaghumor historical parody samurai shounen sunrise
ano hi mita hana no namae wo bokutachi wa mada shiranai. pg13 drama sliceoflife supernatural a-1pictures
ookami kodomo no ame to yuki g fantasy sliceoflife childcare studiochizu
mahou shoujo madoka★magica pg13 drama suspense mahoushoujo psychological shaft
psycho-pass r17 action sci-fi suspense adultcast detective psychological productioni.g
mushoku tensei: isekai ittara honki dasu part 2 r17 drama fantasy ecchi isekai reincarnation studiobind
saiki kusuo no ψ-nan pg13 comedy supernatural gaghumor school shounen j.c.staff eggfirm
great teacher onizuka r17 comedy drama delinquents school workplace shounen pierrot
bakemonogatari r17 mystery romance supernatural vampire shaft
re:zero kara hajimeru isekai seikatsu r17 drama fantasy suspense isekai psychological timetravel whitefox
seishun buta yarou wa yumemiru shoujo no yume wo minai pg13 drama romance supernatural school cloverworks
naruto: shippuuden pg13 action adventure fantasy martialarts shounen pierrot
dr. stone pg13 adventure comedy sci-fi survival timetravel shounen tmsentertainment
mushoku tensei: isekai ittara honki dasu r17 drama fantasy ecchi isekai reincarnation studiobind
seishun buta yarou wa bunny girl senpai no yume wo minai pg13 comedy drama romance supernatural school cloverworks
kono subarashii sekai ni shukufuku wo! 2 pg13 adventure comedy fantasy isekai parody reincarnation studiodeen
monogatari series: second season r17 comedy mystery romance supernatural vampire shaft
re:zero kara hajimeru isekai seikatsu 2nd season r17 drama fantasy suspense isekai psychological timetravel whitefox
haikyuu!! to the top part 2 pg13 sports school teamsports shounen productioni.g
fate/zero r17 action fantasy supernatural ufotable
monster r+ drama mystery suspense adultcast psychological seinen madhouse
re:zero kara hajimeru isekai seikatsu 2nd season part 2 r17 drama fantasy suspense isekai psychological timetravel whitefox
kono subarashii sekai ni shukufuku wo! movie: kurenai densetsu pg13 adventure comedy fantasy isekai parody reincarnation j.c.staff
steins;gate 0 pg13 drama sci-fi suspense timetravel whitefox
haikyuu!! to the top pg13 sports school teamsports shounen productioni.g
tensei shitara slime datta ken 2nd season pg13 action adventure comedy fantasy isekai mythology reincarnation 8bit
kaguya-sama wa kokurasetai: ultra romantic pg13 comedy suspense psychological romanticsubtext school seinen a-1pictures
fate/stay night: unlimited blade works 2nd season r17 action fantasy supernatural ufotable
hellsing ultimate r17 action horror supernatural adultcast gore military vampire seinen madhouse satelight graphinica
hotaru no haka pg13 drama historical studioghibli
tonari no totoro g adventure supernatural studioghibli
tenki no ko pg13 drama fantasy romance sliceoflife comixwavefilms
boku no hero academia 2nd season pg13 action school superpower shounen bones
sono bisque doll wa koi wo suru pg13 romance sliceoflife otakuculture school seinen cloverworks
suzumiya haruhi no shoushitsu pg13 mystery sci-fi supernatural school kyotoanimation
grand blue pg13 comedy seinen zero-g
shokugeki no souma pg13 gourmet ecchi school shounen j.c.staff
perfect blue r+ avantgarde drama horror adultcast psychological showbiz madhouse
banana fish r17 action adventure drama delinquents shoujo mappa
nichijou pg13 comedy gaghumor school shounen kyotoanimation
yahari ore no seishun love comedy wa machigatteiru. zoku pg13 comedy romance lovepolygon school feel.
kenpuu denki berserk r+ action adventure drama fantasy horror supernatural gore military mythology seinen olm
death parade r17 drama supernatural suspense adultcast highstakesgame psychological madhouse
steins;gate movie: fuka ryouiki no déjà vu pg13 drama sci-fi whitefox
horimiya pg13 romance school shounen cloverworks
kuroko no basket 3rd season pg13 sports school teamsports shounen productioni.g
baccano! r17 action comedy mystery supernatural historical organizedcrime brainsbase
saiki kusuo no ψ-nan 2 pg13 comedy supernatural gaghumor school shounen j.c.staff eggfirm
mushishi pg13 adventure fantasy mystery sliceoflife supernatural adultcast historical iyashikei seinen artland
hotarubi no mori e g drama romance supernatural shoujo brainsbase
noragami aragoto pg13 action fantasy mythology shounen bones
